pc1,pc2,cluster,title
-0.102567345,-0.2038462,0,Enterprise Architects
-0.17211732,-0.16115063,0,Data Governance Analysts
-0.15367876,0.07330242,0,Business Intelligence Data Analysts
-0.13297465,-0.3024466,0,Data Management Analysts
-0.27268755,-0.26908326,0,Data Analysts
-0.24844556,-0.3466367,0,Data Insights Analysts
-0.06861684,-0.133582,0,Data Warehouse Analysts
-0.02934362,-0.19349974,0,Data Modelers
-0.13537492,-0.2178451,0,Data Scientists/Data Engineers
-0.2673754,-0.1957144,0,Data Scientists/Analysts
-0.19351424,-0.018577542,0,Information Management Analysts
-0.2867983,-0.17203896,0,Data Analysts
-0.4519472,-0.33038267,0,Cloud Data Architects
-0.17740136,-0.14560702,0,Data Analytics Analysts
0.026316602,-0.17439994,0,Oracle Cloud Technical Consultants
-0.1689872,-0.23576495,0,Business Intelligence Engineers
-0.16378342,-0.075005956,0,Internal Audit Associates
-0.088771686,-0.22285537,0,Exchange Engineers
-0.15920685,-0.11477644,0,MDM Analysts
-0.13192143,-0.064870164,0,Functional Analysts
-0.08780065,0.051510826,0,Data Quality Analysts
-0.10204229,-0.11420459,0,Data Quality Analysts
-0.076283395,-0.16717695,0,Data Modelers
-0.1264191,-0.25664046,0,Data Analytics Associates
-0.122419104,-0.3468953,0,Data Operations Analysts
0.013307732,-0.10272045,0,Data Migration Consultants
-0.11221129,-0.12650315,0,Data Analytics Leads
0.01997476,-0.030170443,0,Master Data Management Analysts
-0.09873778,0.0021027029,0,Data Management Analysts
-0.07925771,-0.0682936,0,Platform Administrators
-0.11334321,-0.10174171,0,Data Analysts
-0.16606833,-0.042911492,0,Data Quality Analysts
-0.14758043,-0.26919773,0,Data Analytics Engineers
-0.19766803,-0.16235197,0,Data Analysts
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.12959963,-0.1787556,0,Google Specialists
-0.27468967,0.10071605,0,Information Governance Analysts
-0.1603074,-0.113510855,0,Data Analysts
-0.058148928,-0.07258366,0,Data Analysts
-0.22732122,-0.10645927,0,Discovery Analysts
-0.15820126,-0.11592595,0,Data Analytics Engineers
-0.16089574,-0.13326447,0,Lead Data Analysts
-0.19033422,-0.13268612,0,Data Analysts
-0.14422494,-0.21001475,0,Enterprise Data Analysts
-0.25126046,-0.07704206,0,Business Analysts/Architects
-0.28221828,-0.21252714,0,Data Analysts
-0.094129205,-0.14253205,0,Oracle Functional Consultants
-0.32566118,-0.28693804,0,Power Analysts
-0.10352287,-0.09023427,0,Data Modelers
-0.013595469,-0.124905065,0,Data Quality Analysts
-0.18459296,-0.2667893,0,Analytics and Insights Managers
-0.14443274,-0.28744507,0,Unclassified
-0.20851524,-0.17085966,0,Business Intelligence Analysts
-0.26574242,-0.1549364,0,Data Analysts
-0.08191796,-0.14049068,0,Information Governance Analysts
-0.10115272,-0.1001344,0,Data Analysts
-0.055044748,-0.18307666,0,Data Analysts
-0.29837656,-0.29979703,0,Data Analytics Leads
-0.1942542,-0.13437457,0,Big Data/Hadoop Developers
-0.02934362,-0.19349974,0,Data Modelers
-0.21075042,-0.07321471,0,Customer Data Analysts
-0.11237934,-0.08871058,0,Data Quality Assurance Analysts
-0.18517737,-0.24954283,0,Analytics Managers
-0.08750585,-0.07945383,0,Data Quality Analysts
-0.15834169,-0.24662983,0,Analytics and Insights Managers
-0.13897125,-0.18434452,0,Data Analytics Architects
-0.18436198,-0.06610097,0,Data Governance Analysts
-0.28426474,-0.20539002,0,Business Intelligence Engineers
-0.11691044,-0.22215055,0,Data Analysts
0.033218548,-0.056530796,0,Oracle Architects
-0.04282365,-0.17859674,0,Oracle Database Administrators
-0.095596254,-0.34514403,0,Enterprise Data Architects
-0.21400906,-0.14852451,0,Data Analysts
-0.13541007,-0.0501049,0,Data Modelers
-0.10208374,0.013723774,0,Data Governance Analysts
-0.094129205,-0.14253205,0,Oracle Functional Consultants
0.027912818,-0.21573204,0,Enterprise Architects
-0.176081,-0.24385096,0,Data Analytics Managers
-0.21458857,-0.11050768,0,Data Warehouse Analysts
-0.14676362,-0.17203633,0,Data Analysts
